text,label
squeeeeeze this is christmas hug if u lik my frndshp den hug me back if u get 3 u r cute 6 u r luvd 9 u r so lucky none people hate u,0
and also ive sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,0
mmm thats better now i got a roast down me id b better if i had a few drinks down me 2 good indian,0
mm have some kanji dont eat anything heavy ok,0
so theres a ring that comes with the guys costumes its there so they can gift their future yowifes hint hint,0
sary just need tim in the bollox it hurt him a lot so he tol me,0
love isnt a decision its a feeling if we could decide who to love then life would be much simpler but then less magical,0
my supervisor find 4 me one lor i thk his students i havent ask her yet tell u aft i ask her,0
dear good morning now only i am up,0
im in chennai velachery,0
lol grr my mom is taking forever with my prescription pharmacy is like 2 minutes away ugh,0
no other valentines huh the proof is on your fb page ugh im so glad i really didnt watch your rupaul show you tool,0
im wif him now buying tix lar,0
er hello things didnt quite go to plan  is limping slowly home followed by aa and with exhaust hanging off,0
free ringtone text first to 87131 for a poly or text get to 87131 for a true tone help 0845 2814032 16 after 1st free tones are 3x150pw to end txt stop,1
sir i am waiting for your call,0
crazy ar hes married  like gd looking guys not me my frens like say hes korean leonas fave but i dun thk he is aft some thinking mayb most prob ill go,0
hey now am free you can call me,0
fighting with the world is easy u either win or lose bt fightng with some1 who is close to u is dificult if u lose  u lose if u win  u still lose,0
then u go back urself lor,0
yeah ill leave in a couple minutes amp let you know when i get to mu,0
customer place i will call you,0
err cud do im going to  at 8pm i havent got a way to contact him until then,0
i guess thats why you re worried you must know that theres a way the body repairs itself and im quite sure you shouldnt worry well take it slow first the tests they will guide when your ovulation is then just relax nothing youve said is a reason to worry but ill keep on followin you up,0
this is the 2nd time we have tried 2 contact u u have won the 750 pound prize 2 claim is easy call 087187272008 now1 only 10p per minute btnationalrate,1
kkcongratulation ,0
its not the same here still looking for a job how much do tas earn there,0
gud gudk chikku tke care sleep well gud nyt,0
 give me some time to walk there,0
wat  doing now,0
doing nothing then u not having dinner w us,0
thanx yup we coming back on sun finish dinner going back 2 hotel now time flies were tog 4 exactly a mth today hope well haf many more mths to come,0
is xy going 4 e lunch,0
can you pls send me that company name in saibaba colany,0
is ur changes 2 da report big cos ive already made changes 2 da previous report,0
morning only i can ok,0
yeah its jus rite,0
never y lei i v lazy got wat dat day  send me da url cant work one,0
aight well head out in a few,0
i prefer my free days tues wed fri oso can  ask those workin lor,0
reminder you have not downloaded the content you have already paid for goto httpdoit mymoby tv to collect your content,1
jus finish blowing my hair u finish dinner already,0
well you pay over like  ltgt yrs so its not too difficult,0
hello boytoy  geeee  im missing you today i like to send you a tm and remind you im thinking of you  and you are loved  loving kiss,0
aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch already,0
i anything lor,0
ill text now all creepy like so he wont think that we forgot,0
guess what somebody you know secretly fancies you wanna find out who it is give us a call on 09065394973 from landline datebox1282essexcm61xn 150pmin 18,1
youd like that wouldnt you jerk,0
i am in officewhats the mattermsg me nowi will call you at break,0
you best watch what you say cause i get drunk as a motherfucker,0
8007 free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates wwwgetzedcouk pobox 36504 w4 5wq norm 150ptone 16,1
hey das cool iknow all 2 wellda peril of studentfinancial crisisspk 2 u l8r,0
nah cant help you there ive never had an iphone,0
ok,0
even if he my friend he is a priest call him now,0
oh gei that happend to me in tron maybe ill dl it in 3d when its out,0
just seeing your missed call my dear brother do have a gr8 day,0
free any day but i finish at 6 on mon n thurs,0
good evening sir hope you are having a nice day i wanted to bring it to your notice that i have been late in paying rent for the past few months and have had to pay a  ltgt  charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and thats why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of months end can you please help thank you for everything,0
urgent your mobile number has been awarded with a 2000 prize guaranteed call 09061790121 from land line claim 3030 valid 12hrs only 150ppm,1
wat time r  going to xins hostel,0
this message is free welcome to the new  improved sex  dogging club to unsubscribe from this service reply stop msgs150p 18 only,1
hi hope u get this txtjourney hasnt been gdnow about 50 mins late i think,0
bill as in are there any letters for me im expecting one from orange that isnt a bill but may still say orange on it,0
annoying isnt it,0
i went to project centre,0
roger that were probably going to rem in about 20,0
lol they dont know about my awesome phone i could click delete right now if i want,0
height of oh shit situation a guy throws a luv letter on a gal but falls on her brothers head whos a gayd,0
sms services for your inclusive text credits pls goto wwwcomuknet login 3qxj9 unsubscribe with stop no extra charge help 08702840625comuk 220cm2 9ae,1
you made my day do have a great day too,0
tmobile customer you may now claim your free camera phone upgrade  a pay  go sim card for your loyalty call on 0845 021 3680offer ends 28thfebtcs apply,1
todays voda numbers ending 5226 are selected to receive a 350 award if you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,1
oh my god ive found your number again im so glad text me back xafter this msgs cst std ntwk chg 150,1
winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,1
you still around looking to pick up later,0
neft transaction with reference number  ltgt  for rs ltdecimalgt  has been credited to the beneficiary account on  ltgt  at  lttimegt  ltgt,0
ok take ur time n enjoy ur dinner,0
hey cutie how goes it here in wales its kinda ok there is like hills and shit but i still avent killed myself ,0
thanks for loving me so you rock,0
ive reached already,0
im home,0
also wheres the piece,0
your next amazing xxx picsfree1 video will be sent to you enjoy if one vid is not enough for 2day text back the keyword picsfree1 to get the next video,1
quite ok but a bit ex u better go eat smth now else ill feel guilty,0
dude got a haircut now its breezy up there,0
actually fuck that just do whatever do find an excuse to be in tampa at some point before january though,0
no management puzzeles,0
hey so whats the plan this sat ,0
for fear of fainting with the of all that housework you just did quick have a cuppa,0
oh ho is this the first time u use these type of words,0
aiyar u so poor thing i give u my support k jia you ill think of u,0
got fujitsu ibm hp toshiba got a lot of model how to say,0
prepare to be pounded every night,0
yeah like if it goes like it did with my friends imma flip my shit in like half an hour,0
wow so healthy old airport rd lor cant thk of anything else but ill b bathing my dog later,0
dai  ltgt  naal eruku,0
i can ask around but theres not a lot in terms of mids up here,0
what do u reckon as need 2 arrange transport if u cant do it thanks,0
yes fine ,0
i wait 4  inside da car park,0
dear got train and seat mine lower seat,0
so is th gower mate which is where i am how r u man all is good in wales ill b back morrow c u this wk who was the msg 4  random,0
edison has rightly said a fool can ask more questions than a wise man can answer now you know why all of us are speechless during viva gmgngegnt,0
r u still working now,0
yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for by the way who is this dont know number joke,0
an amazing quote  sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear,0
okok okthenwhats ur todays plan,0
sleeping nt feeling well,0
hiya comin 2 bristol 1 st week in april les got off  rudi on new yrs eve but i was snoringthey were drunk u bak at college yet my work sends ink 2 bath,0
are you going to write ccna exam this week,0
well i might not come then,0
dearshall mail tonitebusy in the streetshall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut a good one in real sense,0
height of confidence all the aeronautics professors wer calld amp they wer askd 2 sit in an aeroplane aftr they sat they wer told dat the plane ws made by their students dey all hurried out of d plane bt only 1 didnt move he saidif it is made by my studentsthis wont even start datz confidence,0
december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906,1
your account has been refilled successfully by inr  ltdecimalgt  your keralacircle prepaid account balance is rs  ltdecimalgt  your transaction id is kr ltgt ,0
oh  a half hour is much longer in syria than canada eh  wow you must get so much more work done in a day than us with all that extra time  grins,0
lmao take a pic and send it to me,0
rock yr chik get 100s of filthy films xxx pics on yr phone now rply filth to 69669 saristar ltd e14 9yt 08701752560 450p per 5 days stop2 cancel,1
sim watching it in live,0
sir i need velusamy sirs date of birth and company bank facilities details,0
anything lar,0
cool text me when you head out,0
i know you are thinkin malaria but relax children cant handle malaria she would have been worse and its gastroenteritis if she takes enough to replace her loss her temp will reduce and if you give her malaria meds now she will just vomit its a self limiting illness she has which means in a few days it will completely stop,0
yo chad which gymnastics class do you wanna take the site says christians class is full,0
sure if i get an acknowledgement from you that its astoundingly tactless and generally faggy to demand a blood oath fo,0
hi test on  ltgt rd ,0
housemaid is the murderer coz the man was murdered on  ltgt th january as public holiday all govtinstituitions are closedincluding post office,0
sms auction  a brand new nokia 7250 is up 4 auction today auction is free 2 join  take part txt nokia to 86021 now,1
yeah my usual guys out of town but therere definitely people around i know,0
babe  i miiiiiiissssssssss you  i need you  i crave you    geeee  im so sad without you babe  i love you ,0
happy new year my no1 man,0
hey thk we juz go accordin to wat we discussed yest lor except no kb on sun cos theres nt much lesson to go if we attend kb on sat,0
i am taking half day leave bec i am not well,0
or maybe my fat fingers just press all these buttons and it doesnt know what to do,0
babe how goes that day  what are you up to  i miss you already my love   loving kiss  i hope everything goes well,0
black shirt n blue jeans i thk i c ,0
gudnitetcpractice going on,0
no worries hope photo shoot went well have a spiffing fun at workage ,0
nt only for driving even for many reasons she is called bbdthts it chikku then hw abt dvg coldheard tht vinobanagar violence hw is the conditionand hw ru  any problem,0
mom wants to know where you at,0
good good job i like entrepreneurs,0
now got tv 2 watch meh u no work today,0
can you pls pls send me a mail on all you know about relatives coming to deliver here all you know about costs risks benefits and anything else thanks,0
you might want to pull out more just in case and just plan on not spending it if you can i dont have much confidence in derek and taylors money management,0
private your 2004 account statement for 0784987 shows 786 unredeemed bonus points to claim call 08719180219 identifier code 45239 expires 060505,1
 sad puppy noise,0
4 oclock at mine just to bash out a flat plan,0
we not watching movie already xy wants 2 shop so im shopping w her now,0
thats cool princess i will cover your face in hot sticky cum ,0
unfortunately ive just found out that we have to pick my sister up from the airport that evening so dont think ill be going out at all we should try to go out one of th,0
beautiful tomorrow never comes when it comes its already today in the hunt of beautiful tomorrow dont waste your wonderful today goodmorning,0
your pussy is perfect,0
no but well do medical missions to nigeria,0
wot about on wed nite i am 3 then but only til 9,0
 what number do u live at is it 11,0
yeah thats the impression i got,0
hi darlin i finish at 3 do u 1 2 pick me up or meet me text back on this number luv kate xxx,0
then you are eldest know,0
babe u want me dont u baby im nasty and have a thing 4 filthyguys fancy a rude time with a sexy bitch how about we go slo n hard txt xxx slo4msgs,1
thats cause your old i live to be high,0
no da  vijay going to talk in jaya tv,0
i dont have anybodys number i still havent thought up a tactful way to ask alex,0
sorry  i will be able to get to you see you in the morning,0
oktake careumma to you too,0
